0 0 0     0.000128416 0 0
0.000128416 0 0     0.000256832 0 0
0.000256832 0 0     0.000256832 0 0
0.000256832 0 0     0.000256832 0 0.000140087
0.000256832 0 0.000140087     0.000385248 0 0.000140087
0.000385248 0 0.000140087     0.000385248 0 0.000140087
0.000385248 0 0.000140087     0.000385248 0 0.000140087
0.000385248 0 0.000140087     0.000385248 0 0.000140087
0.000385248 0 0.000140087     0.000385248 0 0.000140087
0.000385248 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.000513664 0 0.000140087
0.000513664 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.00064208 0 0.000140087
0.00064208 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000770496 0 0.000140087
0.000770496 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.000898912 0 0.000140087
0.000898912 0 0.000140087     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00102733 0 0.000280174
0.00102733 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00115574 0 0.000280174
0.00115574 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00128416 0 0.000280174
0.00128416 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00141258 0 0.000280174
0.00141258 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00154099 0 0.000280174
0.00154099 0 0.000280174     0.00166941 0 0.000280174
0.00166941 0 0.000280174     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00166941 0 0.000420261
0.00166941 0 0.000420261     0.00179782 0 0.000420261
0.00179782 0 0.000420261     0.00179782 0 0.000420261
0.00179782 0 0.000420261     0.00179782 0 0.000420261
0.00179782 0 0.000420261     0.00179782 0 0.000420261
0.00179782 0 0.000420261     0.00192624 0 0.000420261
0.00192624 0 0.000420261     0.00192624 0 0.000420261
0.00192624 0 0.000420261     0.00192624 0 0.000420261
0.00192624 0 0.000420261     0.00192624 0 0.000420261
0.00192624 0 0.000420261     0.00192624 0 0.000420261
0.00192624 0 0.000420261     0.00205466 0 0.000420261
0.00205466 0 0.000420261     0.00205466 0 0.000420261
0.00205466 0 0.000420261     0.00205466 0 0.000420261
0.00205466 0 0.000420261     0.00205466 0 0.000420261
0.00205466 0 0.000420261     0.00205466 0 0.000420261
0.00205466 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000420261
0.00218307 0 0.000420261     0.00218307 0 0.000560348
0.00218307 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.00231149 0 0.000560348
0.00231149 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.0024399 0 0.000560348
0.0024399 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00256832 0 0.000560348
0.00256832 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00269674 0 0.000560348
0.00269674 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000560348
0.00282515 0 0.000560348     0.00282515 0 0.000700435
0.00282515 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
0.00295357 0 0.000700435     0.00295357 0 0.000700435
