0 0 0     0 0 1
0 0 1     0 0 2
0 0 2     0 0 2
0 0 2     0 1 2
0 1 2     0 1 3
0 1 3     0 1 3
0 1 3     0 1 3
0 1 3     0 1 3
0 1 3     0 1 3
0 1 3     0 1 4
0 1 4     0 1 4
0 1 4     0 1 4
0 1 4     0 1 4
0 1 4     0 1 4
0 1 4     0 1 4
0 1 4     0 1 4
0 1 4     0 1 5
0 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 5
4294967295 1 5     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 6
4294967295 1 6     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 1 7
4294967295 1 7     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 8
4294967295 2 8     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 9
4294967295 2 9     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 10
4294967295 2 10     4294967295 2 11
4294967295 2 11     4294967295 2 11
4294967295 2 11     4294967295 2 11
4294967295 2 11     4294967295 2 11
4294967295 2 11     4294967295 2 11
4294967295 2 11     4294967295 2 11
4294967295 2 11     4294967295 2 12
4294967295 2 12     4294967295 2 12
4294967295 2 12     4294967295 2 12
4294967295 2 12     4294967295 2 12
4294967295 2 12     4294967295 2 12
4294967295 2 12     4294967295 2 12
4294967295 2 12     4294967295 2 13
4294967295 2 13     4294967295 3 13
4294967295 3 13     4294967295 3 13
4294967295 3 13     4294967295 3 13
4294967295 3 13     4294967295 3 13
4294967295 3 13     4294967295 3 13
4294967295 3 13     4294967295 3 13
4294967295 3 13     4294967295 3 14
4294967295 3 14     4294967295 3 14
4294967295 3 14     4294967295 3 14
4294967295 3 14     4294967295 3 14
4294967295 3 14     4294967295 3 15
4294967295 3 15     4294967295 3 15
4294967295 3 15     4294967295 3 15
4294967295 3 15     4294967295 3 15
4294967295 3 15     4294967295 3 15
4294967295 3 15     4294967295 3 16
4294967295 3 16     4294967295 3 16
4294967295 3 16     4294967295 3 16
4294967295 3 16     4294967295 3 16
4294967295 3 16     4294967295 3 16
4294967295 3 16     4294967295 3 17
4294967295 3 17     4294967295 3 17
4294967295 3 17     4294967295 3 17
4294967295 3 17     4294967295 3 17
4294967295 3 17     4294967295 3 17
4294967295 3 17     4294967295 3 17
4294967295 3 17     4294967295 3 17
