0 0 0     -1.77275e-09 2.76094e-05 0
-1.77275e-09 2.76094e-05 0     -7.09099e-09 5.52189e-05 0
-7.09099e-09 5.52189e-05 0     -7.09099e-09 5.52189e-05 0
-7.09099e-09 5.52189e-05 0     2.84306e-05 5.52262e-05 1.99187e-09
2.84306e-05 5.52262e-05 1.99187e-09     2.84217e-05 8.28393e-05 1.99187e-09
2.84217e-05 8.28393e-05 1.99187e-09     2.84217e-05 8.28393e-05 1.99187e-09
2.84217e-05 8.28393e-05 1.99187e-09     2.84217e-05 8.28393e-05 1.99187e-09
2.84217e-05 8.28393e-05 1.99187e-09     2.84217e-05 8.28393e-05 1.99187e-09
2.84217e-05 8.28393e-05 1.99187e-09     2.84217e-05 8.28393e-05 1.99187e-09
2.84217e-05 8.28393e-05 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.84093e-05 0.000110452 1.99187e-09
2.84093e-05 0.000110452 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83933e-05 0.000138065 1.99187e-09
2.83933e-05 0.000138065 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83738e-05 0.000165679 1.99187e-09
2.83738e-05 0.000165679 1.99187e-09     2.83508e-05 0.000193292 1.99187e-09
2.83508e-05 0.000193292 1.99187e-09     2.83508e-05 0.000193292 1.99187e-09
2.83508e-05 0.000193292 1.99187e-09     2.83508e-05 0.000193292 1.99187e-09
